k,domain,eval_seed,tightening,n_gen1,revoke_rate,regeneration_success_rate,random_redraw_success_rate,SR_discard,GC_discard,SR_regenerate,n_revoked,n_regen_ok,n_redraw_ok,Rel_baseline,Rel_discard,Rel_regenerate
27,Healthcare,27043,0.05,195,0.28717948717948716,0.9285714285714286,0.08928571428571429,0.7128205128205128,0.7128205128205128,0.9794871794871794,56,52,5,0.9023534979477871,0.7618453140690411,0.8976900162801071
28,RLV,28042,0.05,198,0.29797979797979796,0.847457627118644,0.1016949152542373,0.702020202020202,0.702020202020202,0.9545454545454546,59,50,6,0.9011577654994649,0.7550498653894578,0.890738005534076
28,Healthcare,28043,0.05,191,0.32460732984293195,0.8225806451612904,0.04838709677419355,0.675392670157068,0.675392670157068,0.9424083769633508,62,51,3,0.9054752554955621,0.7441401853188009,0.8921469005758434
29,RLV,29042,0.05,196,0.2602040816326531,0.8627450980392157,0.09803921568627451,0.7397959183673469,0.7397959183673469,0.9642857142857143,51,44,5,0.898066229704499,0.7724392459290095,0.8899380975519278
29,Healthcare,29043,0.05,195,0.2717948717948718,0.9056603773584906,0.03773584905660377,0.7282051282051282,0.7282051282051283,0.9743589743589743,53,48,2,0.9048751924218921,0.7721746652688573,0.8990180873347444
30,RLV,30042,0.05,198,0.2828282828282828,0.875,0.07142857142857142,0.7171717171717171,0.7171717171717171,0.9646464646464646,56,49,4,0.8928863887177602,0.7561496920649267,0.8848878801097029
30,Healthcare,30043,0.05,196,0.29591836734693877,0.9482758620689655,0.034482758620689655,0.7040816326530612,0.7040816326530612,0.9846938775510204,58,55,2,0.911749823532894,0.7650453775333624,0.9082407790008657
31,RLV,31042,0.05,197,0.29441624365482233,0.7931034482758621,0.06896551724137931,0.7055837563451777,0.7055837563451777,0.9390862944162437,58,46,4,0.8934836356606914,0.7505176149530185,0.8795549524069554
31,Healthcare,31043,0.05,198,0.23232323232323232,0.9130434782608695,0.021739130434782608,0.7676767676767676,0.7676767676767677,0.9797979797979798,46,42,1,0.895887955485973,0.7849516319632012,0.891328581267538
32,RLV,32042,0.05,196,0.2653061224489796,0.9423076923076923,0.0,0.7346938775510204,0.7346938775510203,0.9846938775510204,52,49,0,0.9048796709062501,0.7756111464910714,0.9013970674777861
