k,domain,width_x_halfwidth,shapley_local_vs_cf,lime_local_vs_cf,shapley_vs_lime
34,Healthcare,0.25,0.88,0.9066666666666666,0.92
34,Healthcare,0.5,0.9,0.9133333333333333,0.9133333333333333
34,Healthcare,1.0,0.7466666666666667,0.8533333333333334,0.7
34,Healthcare,2.0,0.3466666666666667,0.5666666666666667,0.36
34,Healthcare,4.0,0.26666666666666666,0.30666666666666664,0.2733333333333333
35,RLV,0.25,0.8666666666666667,0.8866666666666667,0.86
35,RLV,0.5,0.88,0.8866666666666667,0.86
35,RLV,1.0,0.6866666666666666,0.8266666666666667,0.68
35,RLV,2.0,0.36,0.62,0.3
35,RLV,4.0,0.31333333333333335,0.32,0.28
35,Healthcare,0.25,0.8933333333333333,0.92,0.92
35,Healthcare,0.5,0.8666666666666667,0.9066666666666666,0.8933333333333333
35,Healthcare,1.0,0.7266666666666667,0.8266666666666667,0.7266666666666667
35,Healthcare,2.0,0.4066666666666667,0.6266666666666667,0.35333333333333333
35,Healthcare,4.0,0.26,0.34,0.25333333333333335
36,RLV,0.25,0.8733333333333333,0.9066666666666666,0.8933333333333333
36,RLV,0.5,0.84,0.8866666666666667,0.8666666666666667
36,RLV,1.0,0.6933333333333334,0.84,0.6666666666666666
36,RLV,2.0,0.32666666666666666,0.5866666666666667,0.35333333333333333
36,RLV,4.0,0.20666666666666667,0.24666666666666667,0.24666666666666667
36,Healthcare,0.25,0.8866666666666667,0.8933333333333333,0.8733333333333333
36,Healthcare,0.5,0.9333333333333333,0.9666666666666667,0.9266666666666666
36,Healthcare,1.0,0.74,0.8533333333333334,0.72
36,Healthcare,2.0,0.34,0.6333333333333333,0.34
36,Healthcare,4.0,0.29333333333333333,0.25333333333333335,0.26
37,RLV,0.25,0.8533333333333334,0.8866666666666667,0.8533333333333334
37,RLV,0.5,0.86,0.8866666666666667,0.9133333333333333
37,RLV,1.0,0.7,0.84,0.7333333333333333
37,RLV,2.0,0.36,0.6533333333333333,0.3333333333333333
37,RLV,4.0,0.25333333333333335,0.32,0.26666666666666666
37,Healthcare,0.25,0.8733333333333333,0.9266666666666666,0.88
37,Healthcare,0.5,0.88,0.9,0.82
37,Healthcare,1.0,0.6333333333333333,0.8,0.6266666666666667
37,Healthcare,2.0,0.44,0.6066666666666667,0.41333333333333333
37,Healthcare,4.0,0.3,0.31333333333333335,0.28
38,RLV,0.25,0.8266666666666667,0.8933333333333333,0.8733333333333333
38,RLV,0.5,0.8533333333333334,0.88,0.9066666666666666
38,RLV,1.0,0.6933333333333334,0.84,0.6733333333333333
38,RLV,2.0,0.44,0.6533333333333333,0.38666666666666666
38,RLV,4.0,0.2866666666666667,0.28,0.21333333333333335
38,Healthcare,0.25,0.8866666666666667,0.8866666666666667,0.8933333333333333
38,Healthcare,0.5,0.88,0.9066666666666666,0.8266666666666667
38,Healthcare,1.0,0.74,0.8,0.64
38,Healthcare,2.0,0.32,0.6266666666666667,0.3
38,Healthcare,4.0,0.28,0.3,0.29333333333333333
39,RLV,0.25,0.8133333333333334,0.8666666666666667,0.8333333333333334
39,RLV,0.5,0.8533333333333334,0.8066666666666666,0.9
39,RLV,1.0,0.72,0.8066666666666666,0.6866666666666666
39,RLV,2.0,0.3,0.7,0.32666666666666666
39,RLV,4.0,0.30666666666666664,0.3466666666666667,0.21333333333333335
39,Healthcare,0.25,0.84,0.9066666666666666,0.8466666666666667
39,Healthcare,0.5,0.8666666666666667,0.9266666666666666,0.8866666666666667
39,Healthcare,1.0,0.6333333333333333,0.84,0.62
39,Healthcare,2.0,0.28,0.64,0.31333333333333335
39,Healthcare,4.0,0.24666666666666667,0.29333333333333333,0.3
40,RLV,0.25,0.86,0.8333333333333334,0.8866666666666667
40,RLV,0.5,0.86,0.8466666666666667,0.8266666666666667
40,RLV,1.0,0.62,0.8133333333333334,0.62
40,RLV,2.0,0.41333333333333333,0.64,0.36666666666666664
40,RLV,4.0,0.24666666666666667,0.31333333333333335,0.22
40,Healthcare,0.25,0.8333333333333334,0.8933333333333333,0.8666666666666667
40,Healthcare,0.5,0.88,0.9066666666666666,0.8866666666666667
40,Healthcare,1.0,0.6933333333333334,0.8266666666666667,0.6533333333333333
40,Healthcare,2.0,0.38,0.6733333333333333,0.3333333333333333
40,Healthcare,4.0,0.20666666666666667,0.23333333333333334,0.26
41,RLV,0.25,0.8533333333333334,0.8666666666666667,0.8933333333333333
41,RLV,0.5,0.8666666666666667,0.8733333333333333,0.86
