arm,k,domain,A_triad,TS_mean,SR_mean,Rel_mean,genesis_rmsd_vs_ref,Ag_agreement_vs_ref
mlp1_s009,25,Healthcare,0.7037318303766221,0.9172447707641144,0.8444999999999999,0.8405659664985852,0.050980167995933,0.9262926292629264
mlp1_s036,25,RLV,0.6692503449225433,0.910467076274131,0.7578333333333334,0.8008103999242132,0.065178381550959,0.8940774487471527
mlp1_s036,25,Healthcare,0.6656718842593018,0.9108932280932096,0.6395833333333333,0.7261970226033105,0.0959990488725612,0.8074807480748075
mlp1_r1,25,RLV,0.6913199227995531,0.91252609501787,0.8398333333333333,0.8398680668168425,0.0388009088175953,0.958997722095672
mlp1_r1,25,Healthcare,0.6965166618378248,0.9164395799983716,0.8205,0.828390136130476,0.0257521025822765,0.966996699669967
mlp1_r4,25,RLV,0.689825740095567,0.9125524334100364,0.8444999999999999,0.8415757593804181,0.0482958646286017,0.9521640091116174
mlp1_r4,25,Healthcare,0.6981632968036672,0.9161707968519522,0.81725,0.8281419246524788,0.0491891344187968,0.9471947194719472
attn1,25,RLV,0.7100074533864568,0.9140666432473304,0.8769166666666667,0.8541897555108146,0.0441548021224084,0.9453302961275628
attn1,25,Healthcare,0.7209537812823527,0.9184458574891676,0.8630000000000001,0.8575995565517798,0.0815285991189939,0.8954895489548955
mlp1_tanh_s018_r2,26,RLV,0.7307918127821798,0.9138490308281962,0.83375,0.850913985427587,0.0,1.0
mlp1_tanh_s018_r2,26,Healthcare,0.7410188190511696,0.9163000687722428,0.8534999999999999,0.8545903025501086,0.0,1.0
mlp1_relu,26,RLV,0.7300840796552578,0.914255755754085,0.8483333333333333,0.8543382281298045,0.04640219758223,0.9578713968957872
mlp1_relu,26,Healthcare,0.7313952504147404,0.9159377477277476,0.8475833333333334,0.852051689118578,0.0468747282297056,0.9694656488549618
mlp2_tanh,26,RLV,0.7027062363004338,0.9143469851006244,0.8383333333333333,0.8422218905517467,0.1005220582949057,0.9002217294900222
mlp2_tanh,26,Healthcare,0.7167962914381599,0.9145568388472493,0.80825,0.8319245516917365,0.1168559121209086,0.8669574700109052
mlp1_s009,26,RLV,0.7290502133357822,0.9145445532438076,0.8508333333333334,0.8517965598362952,0.0398594269370547,0.9556541019955654
mlp1_s009,26,Healthcare,0.7372807437934368,0.9164511099285914,0.8670833333333334,0.8658857867129541,0.0317805769950265,0.9683751363140676
mlp1_s036,26,RLV,0.7308247021474937,0.911379591746822,0.755,0.8217337335203593,0.0765303536328267,0.902439024390244
mlp1_s036,26,Healthcare,0.7457895999758727,0.9153160332470828,0.8046666666666666,0.8342891591997127,0.0613411008915568,0.925845147219193
mlp1_r1,26,RLV,0.7225749840360421,0.9133677449790082,0.8180833333333334,0.8437151426080999,0.0315869957864057,0.9800443458980044
mlp1_r1,26,Healthcare,0.7424630902820185,0.9165905817716236,0.8575,0.85634361658583,0.0195493002022928,0.9912758996728462
mlp1_r4,26,RLV,0.7398865851268516,0.914139575420148,0.8424166666666667,0.8531740496290419,0.0403446239772297,0.9711751662971176
mlp1_r4,26,Healthcare,0.7424454371807468,0.9160289106165852,0.8574166666666667,0.8555775808835694,0.027249699948838,0.9770992366412212
attn1,26,RLV,0.7300421907432861,0.9154858116294424,0.8660833333333333,0.8646713856721965,0.0931922689647403,0.9068736141906872
attn1,26,Healthcare,0.7240822223329643,0.9153512510755932,0.8416666666666666,0.8523608658164444,0.0707102256298799,0.9149400218102508
mlp1_tanh_s018_r2,27,RLV,0.6902603094947186,0.9189154502980896,0.8715833333333333,0.8484478269144771,0.0,1.0
mlp1_tanh_s018_r2,27,Healthcare,0.7234844335042231,0.9163842863544276,0.8138333333333333,0.8345332839438427,0.0,1.0
mlp1_relu,27,RLV,0.6898774908924802,0.918838470829162,0.8747499999999999,0.8491477561096957,0.0219733642122678,0.9903329752953812
mlp1_relu,27,Healthcare,0.7181547148029718,0.915998229721564,0.8109166666666667,0.8314366024840811,0.0199081001552122,0.992152466367713
mlp2_tanh,27,RLV,0.7112865129882041,0.9196210889805708,0.8934166666666666,0.8665244433449055,0.0949003081592621,0.9226638023630503
mlp2_tanh,27,Healthcare,0.6705414293070225,0.9131134224309988,0.7881666666666667,0.804846445899495,0.1232940979109411,0.8609865470852018
mlp1_s009,27,RLV,0.6958279711436651,0.9193001769074178,0.88425,0.856034356424392,0.0374944714851415,0.9634801288936627
mlp1_s009,27,Healthcare,0.7174327148480765,0.9164094303134972,0.836,0.8372509332669203,0.0316600623449086,0.9551569506726456
mlp1_s036,27,RLV,0.6773616650049004,0.9165476395851836,0.7834166666666667,0.8008301522253376,0.0726795237822358,0.8818474758324383
mlp1_s036,27,Healthcare,0.7299281702996009,0.9151740426106196,0.7715,0.8164044590565882,0.0598198188910809,0.9114349775784754
mlp1_r1,27,RLV,0.6975623125304756,0.9192231028587928,0.8771666666666667,0.8522250522818875,0.0167495644348194,0.9871106337271752
mlp1_r1,27,Healthcare,0.7175607469632896,0.9157404935454594,0.8185833333333333,0.8368931524127601,0.0385717857307061,0.9641255605381166
mlp1_r4,27,RLV,0.688514203710049,0.9186493489739768,0.8552500000000001,0.8424685392063336,0.0319434831029034,0.958109559613319
mlp1_r4,27,Healthcare,0.7017650940531176,0.915032195168045,0.799,0.8226842456091364,0.0565048052991413,0.9405829596412556
attn1,27,RLV,0.6934033105003085,0.918769052713947,0.87875,0.8537959707687328,0.0733959299415342,0.9312567132116004
attn1,27,Healthcare,0.7060337730359949,0.915412405680758,0.8242500000000001,0.8320597491930053,0.0861629774465792,0.905829596412556
mlp1_tanh_s018_r2,28,RLV,0.7174055564650116,0.919260463329072,0.8738333333333332,0.859679991326181,0.0,1.0
mlp1_tanh_s018_r2,28,Healthcare,0.734103535343448,0.9156911792368408,0.8078333333333333,0.824020580886655,0.0,1.0
mlp1_relu,28,RLV,0.7217512543935597,0.919776698051302,0.8815833333333333,0.863419037932616,0.0250780703537386,0.9888765294771968
mlp1_relu,28,Healthcare,0.7390308556382577,0.9157857904583606,0.8104166666666666,0.835308267221528,0.0567479212551883,0.9429223744292238
mlp2_tanh,28,RLV,0.6958048823634179,0.9188960967405267,0.8597499999999999,0.8463027123533835,0.1132577431004638,0.9065628476084538
mlp2_tanh,28,Healthcare,0.7394577853735709,0.9158997002369068,0.8224166666666668,0.847377165520086,0.0824136182475995,0.8984018264840182
mlp1_s009,28,RLV,0.7119447501787821,0.9199491769448916,0.8952499999999999,0.8650685863528987,0.0418499358946111,0.9632925472747496
mlp1_s009,28,Healthcare,0.738168901335872,0.915979058416592,0.8271666666666667,0.845534275918697,0.0407563772085835,0.9497716894977168
mlp1_s036,28,RLV,0.7231792867960439,0.9165006412970512,0.7946666666666666,0.8354373110703486,0.080567110422355,0.8932146829810901
mlp1_s036,28,Healthcare,0.7200614045490289,0.9137187775225653,0.7339166666666667,0.7838495825535261,0.0785940806685199,0.8926940639269406
mlp1_r1,28,RLV,0.7092620647452952,0.9188472212712826,0.8668333333333333,0.8548522115356815,0.0189488138156043,0.9911012235817576
mlp1_r1,28,Healthcare,0.732266917976264,0.9156504350762816,0.8075833333333334,0.8266926037240125,0.0110202663178051,0.9840182648401826
mlp1_r4,28,RLV,0.7125303607222877,0.9193753783747984,0.8728333333333333,0.8578067791102754,0.0326292982490888,0.985539488320356
