k,domain,eval_seed,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,SR_mean,SR_zero_events,Rel_mean,Rel_event_sd,baseline_balanced_accuracy,baseline_f1
31,Healthcare,31043,0.702855790799565,0.8849148582696945,0.6045883323707306,0.6190641817582696,0.9165339660138639,0.8704166666666667,2,0.854709651936149,0.1004186190050816,0.5989439853076217,0.7135678391959799
32,RLV,32042,0.73090893127537,0.8825832982835913,0.6578267826069972,0.6523167129355214,0.917276055747328,0.8850833333333332,4,0.8615278379450771,0.12914847679963468,0.5295918367346939,0.690176322418136
32,Healthcare,32043,0.6976093418454239,0.8806664605141331,0.591348760391587,0.6208128046305514,0.9164761806081853,0.7995,5,0.821986433837008,0.14825066618852234,0.5192591948526215,0.6684782608695652
33,RLV,33042,0.7327641442575746,0.8807316233712569,0.6550885680933197,0.6624722413081473,0.9147629035620011,0.8693333333333334,0,0.8676177011389773,0.06456532282735628,0.5416250416250417,0.631578947368421
33,Healthcare,33043,0.7291388432048912,0.8907120543297269,0.6342144134525013,0.6624900618324453,0.9151466113111532,0.8271666666666667,5,0.8398182567540953,0.14672406296404755,0.6059568285595682,0.7292225201072386
34,RLV,34042,0.6968267984367406,0.8600835657422748,0.6061490797218939,0.6242477498460531,0.9159416798770689,0.8440000000000001,5,0.8351147387958449,0.14527312141128862,0.5594990703270262,0.6629526462395543
34,Healthcare,34043,0.7306760140764057,0.8927559150820557,0.6434336731443042,0.6558384540028571,0.9148810917278652,0.8255833333333333,4,0.8415708233134472,0.1379771689621112,0.5800659937888198,0.7352185089974294
35,RLV,35042,0.6741389231495644,0.8653199302019445,0.570363098324775,0.5867337409219731,0.9144487926568349,0.8175833333333332,3,0.8255459904025608,0.12266371324202303,0.5857051340715658,0.76
35,Healthcare,35043,0.7337387490673649,0.892613158768129,0.650306629548028,0.6582964588859378,0.915068290033519,0.8064166666666667,5,0.8349625768363973,0.14814040711908535,0.640287132222616,0.7331536388140162
36,RLV,36042,0.6748350353038632,0.8594737567468644,0.5743889510039134,0.5906423981608118,0.9167816900453625,0.8291666666666667,5,0.8244582715350743,0.14429465382123347,0.5906609765780071,0.6914893617021277
36,Healthcare,36043,0.7247378415120348,0.8864892873227702,0.6360775166515555,0.6516467205617786,0.9163060223591057,0.8676666666666667,0,0.8648841691416598,0.06719349951150316,0.46474358974358976,0.7209876543209877
37,RLV,37042,0.7043799732376393,0.8760119277259906,0.611326056562423,0.6258019354245047,0.9149503317125652,0.84625,3,0.8437507156758537,0.12049622880465236,0.48822539949537425,0.6921119592875318
37,Healthcare,37043,0.7094273366638011,0.8815245055838636,0.6067164066482887,0.640041097759251,0.9172646759634295,0.8290833333333333,3,0.8406375822998693,0.1228943774529936,0.5147481325416586,0.6958762886597938
38,RLV,38042,0.687566250712257,0.8658750921160677,0.5794417049046562,0.617381955116047,0.9122100105712052,0.8583333333333333,3,0.8408910538872786,0.12102703470699545,0.48325596816976124,0.690537084398977
