k,domain,method,reference,n,agree_with_counterfactual
23,RLV,lime,pool,150,0.3466666666666667
23,RLV,shapley_vs_lime,pool,150,0.6266666666666667
23,RLV,shapley_vs_lime,local,150,0.8733333333333333
23,Healthcare,shapley,pool,150,0.30666666666666664
23,Healthcare,shapley,local,150,0.86
23,Healthcare,lime,local,150,0.8933333333333333
23,Healthcare,lime,pool,150,0.29333333333333333
23,Healthcare,shapley_vs_lime,pool,150,0.6266666666666667
23,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
24,RLV,shapley,pool,150,0.23333333333333334
24,RLV,shapley,local,150,0.8733333333333333
24,RLV,lime,local,150,0.8866666666666667
24,RLV,lime,pool,150,0.2
24,RLV,shapley_vs_lime,pool,150,0.5466666666666666
24,RLV,shapley_vs_lime,local,150,0.86
24,Healthcare,shapley,pool,150,0.29333333333333333
24,Healthcare,shapley,local,150,0.8866666666666667
24,Healthcare,lime,local,150,0.9133333333333333
24,Healthcare,lime,pool,150,0.30666666666666664
24,Healthcare,shapley_vs_lime,pool,150,0.6
24,Healthcare,shapley_vs_lime,local,150,0.8666666666666667
25,RLV,shapley,pool,150,0.19333333333333333
25,RLV,shapley,local,150,0.82
25,RLV,lime,local,150,0.8466666666666667
25,RLV,lime,pool,150,0.22666666666666666
25,RLV,shapley_vs_lime,pool,150,0.5733333333333334
25,RLV,shapley_vs_lime,local,150,0.8333333333333334
25,Healthcare,shapley,pool,150,0.22
25,Healthcare,shapley,local,150,0.84
25,Healthcare,lime,local,150,0.86
25,Healthcare,lime,pool,150,0.25333333333333335
25,Healthcare,shapley_vs_lime,pool,150,0.54
25,Healthcare,shapley_vs_lime,local,150,0.8533333333333334
26,RLV,shapley,pool,150,0.30666666666666664
26,RLV,shapley,local,150,0.86
26,RLV,lime,local,150,0.8266666666666667
26,RLV,lime,pool,150,0.32
26,RLV,shapley_vs_lime,pool,150,0.5
26,RLV,shapley_vs_lime,local,150,0.8666666666666667
26,Healthcare,shapley,pool,150,0.24666666666666667
26,Healthcare,shapley,local,150,0.86
26,Healthcare,lime,local,150,0.8733333333333333
26,Healthcare,lime,pool,150,0.21333333333333335
26,Healthcare,shapley_vs_lime,pool,150,0.58
26,Healthcare,shapley_vs_lime,local,150,0.84
27,RLV,shapley,pool,150,0.2733333333333333
27,RLV,shapley,local,150,0.86
27,RLV,lime,local,150,0.8533333333333334
27,RLV,lime,pool,150,0.2866666666666667
27,RLV,shapley_vs_lime,pool,150,0.47333333333333333
27,RLV,shapley_vs_lime,local,150,0.8466666666666667
27,Healthcare,shapley,pool,150,0.30666666666666664
27,Healthcare,shapley,local,150,0.82
27,Healthcare,lime,local,150,0.9133333333333333
27,Healthcare,lime,pool,150,0.3
27,Healthcare,shapley_vs_lime,pool,150,0.43333333333333335
27,Healthcare,shapley_vs_lime,local,150,0.7733333333333333
28,RLV,shapley,pool,150,0.21333333333333335
28,RLV,shapley,local,150,0.8666666666666667
28,RLV,lime,local,150,0.86
28,RLV,lime,pool,150,0.28
28,RLV,shapley_vs_lime,pool,150,0.72
28,RLV,shapley_vs_lime,local,150,0.8733333333333333
28,Healthcare,shapley,pool,150,0.32666666666666666
28,Healthcare,shapley,local,150,0.8866666666666667
28,Healthcare,lime,local,150,0.9066666666666666
28,Healthcare,lime,pool,150,0.34
28,Healthcare,shapley_vs_lime,pool,150,0.5666666666666667
28,Healthcare,shapley_vs_lime,local,150,0.8466666666666667
29,RLV,shapley,pool,150,0.26
29,RLV,shapley,local,150,0.8333333333333334
29,RLV,lime,local,150,0.86
29,RLV,lime,pool,150,0.29333333333333333
29,RLV,shapley_vs_lime,pool,150,0.6066666666666667
29,RLV,shapley_vs_lime,local,150,0.88
29,Healthcare,shapley,pool,150,0.16
29,Healthcare,shapley,local,150,0.8666666666666667
29,Healthcare,lime,local,150,0.8666666666666667
29,Healthcare,lime,pool,150,0.20666666666666667
29,Healthcare,shapley_vs_lime,pool,150,0.47333333333333333
29,Healthcare,shapley_vs_lime,local,150,0.8866666666666667
30,RLV,shapley,pool,150,0.26
30,RLV,shapley,local,150,0.8466666666666667
30,RLV,lime,local,150,0.82
30,RLV,lime,pool,150,0.30666666666666664
30,RLV,shapley_vs_lime,pool,150,0.46
30,RLV,shapley_vs_lime,local,150,0.8333333333333334
30,Healthcare,shapley,pool,150,0.22666666666666666
30,Healthcare,shapley,local,150,0.8533333333333334
30,Healthcare,lime,local,150,0.8666666666666667
30,Healthcare,lime,pool,150,0.2866666666666667
30,Healthcare,shapley_vs_lime,pool,150,0.5333333333333333
30,Healthcare,shapley_vs_lime,local,150,0.86
31,RLV,shapley,pool,150,0.24
31,RLV,shapley,local,150,0.8333333333333334
31,RLV,lime,local,150,0.88
31,RLV,lime,pool,150,0.23333333333333334
31,RLV,shapley_vs_lime,pool,150,0.7533333333333333
31,RLV,shapley_vs_lime,local,150,0.8533333333333334
31,Healthcare,shapley,pool,150,0.18666666666666668
31,Healthcare,shapley,local,150,0.8733333333333333
31,Healthcare,lime,local,150,0.8933333333333333
31,Healthcare,lime,pool,150,0.2733333333333333
31,Healthcare,shapley_vs_lime,pool,150,0.44666666666666666
31,Healthcare,shapley_vs_lime,local,150,0.9
32,RLV,shapley,pool,150,0.22
32,RLV,shapley,local,150,0.8533333333333334
32,RLV,lime,local,150,0.8333333333333334
32,RLV,lime,pool,150,0.26666666666666666
32,RLV,shapley_vs_lime,pool,150,0.6533333333333333
32,RLV,shapley_vs_lime,local,150,0.8466666666666667
32,Healthcare,shapley,pool,150,0.3
32,Healthcare,shapley,local,150,0.9
32,Healthcare,lime,local,150,0.9066666666666666
32,Healthcare,lime,pool,150,0.36666666666666664
32,Healthcare,shapley_vs_lime,pool,150,0.5866666666666667
32,Healthcare,shapley_vs_lime,local,150,0.8866666666666667
33,RLV,shapley,pool,150,0.2866666666666667
33,RLV,shapley,local,150,0.8266666666666667
33,RLV,lime,local,150,0.8533333333333334
33,RLV,lime,pool,150,0.34
33,RLV,shapley_vs_lime,pool,150,0.36
33,RLV,shapley_vs_lime,local,150,0.8133333333333334
33,Healthcare,shapley,pool,150,0.25333333333333335
33,Healthcare,shapley,local,150,0.8533333333333334
33,Healthcare,lime,local,150,0.88
33,Healthcare,lime,pool,150,0.29333333333333333
33,Healthcare,shapley_vs_lime,pool,150,0.76
33,Healthcare,shapley_vs_lime,local,150,0.8666666666666667
34,RLV,shapley,pool,150,0.32666666666666666
34,RLV,shapley,local,150,0.9
34,RLV,lime,local,150,0.8666666666666667
