k,domain,gene_dropped,A_triad_mean,A_triad_std,TS_mean,SR,Rel,Rel_delta_vs_full,baseline_balanced_accuracy_mean,baseline_balanced_accuracy_std,baseline_f1_mean
33,Healthcare,A,0.6834920536600056,0.0,0.9150706069816129,0.8484999999999999,0.8535126859333559,0.01369442917926067,0.6195516811955168,0.0,0.7193460490463215
33,Healthcare,D,0.7217764759458417,0.0,0.9163453202675134,0.8551666666666666,0.8672177603588728,0.027399503604777498,0.589923204649232,0.0,0.6888888888888889
33,Healthcare,E,0.6955793318673164,0.0,0.9179684521976097,0.8809166666666667,0.8660187859768977,0.02620052922280247,0.5786633457866335,0.0,0.7184986595174263
34,RLV,S,0.6400922855215699,0.0,0.9173757078771771,0.8648333333333333,0.8441712597661751,0.009056520970330273,0.5652411681067484,0.0,0.6902173913043478
34,RLV,A,0.6919901606669759,0.0,0.9183973684304223,0.8964166666666668,0.8687806072778866,0.03366586848204178,0.5916001312479493,0.0,0.6610169491525424
34,RLV,D,0.5680526453525544,0.0,0.9144955880390027,0.8981666666666667,0.8264789249147836,-0.008635813881061272,0.5806628021437166,0.0,0.6795580110497238
34,RLV,E,0.6934973691998249,0.0,0.9149391025360105,0.8684166666666667,0.8615714299274011,0.026456691131556243,0.5276714426337089,0.0,0.7002652519893899
34,Healthcare,S,0.6605693886998188,0.0,0.9152250722264648,0.8785833333333334,0.8537040238304993,0.012133200517052023,0.5758928571428572,0.0,0.7430025445292621
34,Healthcare,A,0.6967019523107022,0.0,0.917407038553065,0.8563333333333333,0.8601278031537926,0.018556979840345322,0.4938858695652174,0.0,0.6467391304347826
34,Healthcare,D,0.7201818929010754,0.0,0.9143023373225346,0.8715,0.8703618664882927,0.028791043174845488,0.5867624223602484,0.0,0.7448979591836735
34,Healthcare,E,0.669763966218293,0.0,0.9144909652522908,0.8633333333333334,0.8527464630657645,0.011175639752317279,0.5354231366459627,0.0,0.6666666666666666
35,RLV,S,0.6508081720581861,0.0,0.9155759749513861,0.8484999999999999,0.8432372982535249,0.017691307850964066,0.5792074677404595,0.0,0.7253886010362695
35,RLV,A,0.7005767583705608,0.0,0.9169915911249962,0.8819166666666667,0.8675852446414202,0.04203925423885935,0.5622769287087033,0.0,0.7135416666666666
35,RLV,D,0.5798603067957252,0.0,0.9137636842145006,0.87075,0.8241621955599524,-0.0013837948426084212,0.5734876910405418,0.0,0.7300771208226221
35,RLV,E,0.7124940961476082,0.0,0.9147989652064898,0.8383333333333333,0.8597672881508533,0.03422129774829252,0.5645190811750709,0.0,0.7168831168831169
35,Healthcare,S,0.6522303079755464,0.0,0.9156278114300707,0.8423333333333332,0.8421723615847692,0.007209784748371861,0.640287132222616,0.0,0.7331536388140162
35,Healthcare,A,0.7023580345673546,0.0,0.917598401281299,0.8484999999999999,0.8599352713019591,0.02497269446556183,0.5965083303792982,0.0,0.6647727272727273
35,Healthcare,D,0.7645038499401565,0.0,0.9161588105605377,0.8679166666666666,0.8829927076297426,0.04803013079334528,0.640287132222616,0.0,0.7331536388140162
35,Healthcare,E,0.6406510893602725,0.0,0.9147020043137146,0.8426666666666666,0.8382802874486817,0.0033177106122843636,0.5626550868486352,0.0,0.664804469273743
36,RLV,S,0.6741809934006078,0.0,0.9192420809242922,0.8681666666666666,0.8564507168959087,0.03199244536083434,0.5548332671695118,0.0,0.6666666666666666
36,RLV,A,0.7152589079359529,0.0,0.9183220436858464,0.86375,0.8678838087885524,0.043425537253478086,0.5657502977371973,0.0,0.6843501326259946
36,RLV,D,0.5222695142661514,0.0,0.9170593781051097,0.8755,0.8047056873022922,-0.019752584232782144,0.6112048431917427,0.0,0.6916890080428955
36,RLV,E,0.6981734982763971,0.0,0.916902607215196,0.8724166666666667,0.8644753820540527,0.04001711051897838,0.5814807463279079,0.0,0.6931216931216931
36,Healthcare,S,0.657801229687434,0.0,0.9168468238009997,0.9081666666666667,0.8602788697242338,-0.004605299417425934,0.4839743589743589,0.0,0.7117794486215538
36,Healthcare,A,0.6922758455395233,0.0,0.9192827735070768,0.9053333333333333,0.8712327711128799,0.006348601971220114,0.4305555555555556,0.0,0.6256684491978609
36,Healthcare,D,0.6804923353416331,0.0,0.9143370634500427,0.8835,0.861061217909018,-0.003822951232641758,0.4604700854700855,0.0,0.7146401985111662
36,Healthcare,E,0.7102001878113865,0.0,0.918356139241374,0.89875,0.8749992987259894,0.010115129584329585,0.4882478632478633,0.0,0.7182044887780549
37,RLV,S,0.6674106609842948,0.0,0.9172130426416594,0.883,0.8574444946351517,0.01369377895929802,0.5463099243061396,0.0,0.6789473684210526
37,RLV,A,0.7002765856571626,0.0,0.9173746432168152,0.8750833333333332,0.8658974036900379,0.02214668801418418,0.42940496215306984,0.0,0.6867167919799498
37,RLV,D,0.5857485479806103,0.0,0.9124928550282874,0.8955833333333334,0.8317861295592139,-0.011964586116639753,0.45232338099243063,0.0,0.6527415143603134
37,RLV,E,0.6813430796137179,0.0,0.9147945644522231,0.8771666666666667,0.8598899755706616,0.01613925989480791,0.5190811606391926,0.0,0.7055837563451777
37,Healthcare,S,0.7029825157423734,0.0,0.9186928714594569,0.8880833333333333,0.8702462237972863,0.029608641497417043,0.5169507757134648,0.0,0.699228791773779
37,Healthcare,A,0.7033781026405382,0.0,0.9184137431856847,0.86775,0.8652775980659173,0.024640015766048018,0.5081402030262402,0.0,0.6857142857142857
37,Healthcare,D,0.6870166187938187,0.0,0.9157678939725611,0.8663333333333334,0.8592299767127726,0.01859239441290328,0.5016759241524612,0.0,0.6907216494845361
37,Healthcare,E,0.6645609257056043,0.0,0.918002338783917,0.8549166666666668,0.8498173499830883,0.009179767683219042,0.5521930664623635,0.0,0.7506172839506173
38,RLV,S,0.6563735043195208,0.0,0.9138380677751052,0.8939166666666667,0.8557153655951304,0.014824311707851812,0.48530061892130855,0.0,0.6753246753246753
38,RLV,A,0.7133294051316778,0.0,0.9138576374537533,0.8867499999999999,0.87195177779784,0.031060723910561472,0.4530835543766578,0.0,0.6419098143236074
38,RLV,D,0.5586713064870186,0.0,0.911543892476922,0.8884166666666666,0.8201393738555032,-0.02075168003177541,0.5382957559681698,0.0,0.6045197740112994
38,RLV,E,0.7026785173308904,0.0,0.9136656319590444,0.8995833333333334,0.8717588028012424,0.03086774891396382,0.4897214854111406,0.0,0.700507614213198
38,Healthcare,S,0.669566929406123,0.0,0.9200042069093377,0.9090833333333335,0.8650612850852211,0.02000272974011097,0.5668478260869565,0.0,0.7197943444730077
38,Healthcare,A,0.6853978779813259,0.0,0.9204993055134576,0.8789999999999999,0.8629562409567924,0.017897685611682257,0.5179347826086956,0.0,0.6789473684210526
38,Healthcare,D,0.7116594288800601,0.0,0.9175392378471596,0.8861666666666665,0.8721738591262321,0.027115303781122035,0.5565217391304348,0.0,0.7212276214833759
38,Healthcare,E,0.6571631624398421,0.0,0.9173922957208188,0.86625,0.8500958318594997,0.005037276514389566,0.6027173913043478,0.0,0.7397959183673469
39,RLV,S,0.6375569763937742,0.0,0.9169953464825268,0.8418333333333333,0.8375834029729107,0.015184863638577739,0.531078184698537,0.0,0.6023391812865497
39,RLV,A,0.7026132244468508,0.0,0.9195273522570483,0.8675833333333333,0.8652628209153695,0.04286428158103661,0.34954803839343956,0.0,0.5428571428571428
39,RLV,D,0.5265741741689006,0.0,0.9144601403946517,0.8706666666666666,0.8046723220185666,-0.01772621731576629,0.5038207063647376,0.0,0.5865102639296188
39,RLV,E,0.686202009222724,0.0,0.9161572093126258,0.8634166666666667,0.8583424750664875,0.0359439357321546,0.5402106047898612,0.0,0.6184971098265896
39,Healthcare,S,0.6747214811459453,0.0,0.9170802786356709,0.8703333333333333,0.8566518894245185,0.004344717089618366,0.5615411436541144,0.0,0.6649484536082474
39,Healthcare,A,0.7113959679183174,0.0,0.9169630914911865,0.8516666666666666,0.8633427097865616,0.011035537451661415,0.596931659693166,0.0,0.6614173228346457
39,Healthcare,D,0.7284419597006487,0.0,0.917394728162831,0.86375,0.8716353068179155,0.01932813448301529,0.5928347280334728,0.0,0.6854219948849105
39,Healthcare,E,0.7047470710759903,0.0,0.9191059687375521,0.8970833333333332,0.8730877876404942,0.020780615305594052,0.5864714086471409,0.0,0.6436170212765957
40,RLV,S,0.6283753906509416,0.0,0.9152229037500088,0.8495,0.8360405799473504,0.0191397330709715,0.5778819305943359,0.0,0.6869806094182825
40,RLV,A,0.6852978071622778,0.0,0.9163188480039188,0.8694166666666666,0.8595843121852917,0.04268346530891287,0.57618667730355,0.0,0.6994535519125683
40,RLV,D,0.5306149989553401,0.0,0.9124960020620294,0.8585,0.802948512667637,-0.013952334208741868,0.5281212604706821,0.0,0.6847826086956522
40,RLV,E,0.6947062047405727,0.0,0.916896938003134,0.8827499999999999,0.8659440981008917,0.04904325122451281,0.5584363781412046,0.0,0.6868131868131868
